name,date,ranknow,open,high,low,close,volume,market,close_ratio,spread
Bitcoin,1/1/2016,1,430.72,436.25,427.51,434.33,36278900,6473530000,0.7803,8.74
Bitcoin,1/2/2016,1,434.62,436.06,431.87,433.44,30096600,6533630000,0.3747,4.19
Bitcoin,1/3/2016,1,433.58,433.74,424.71,430.01,39633800,6519500000,0.5869,9.03
Bitcoin,1/4/2016,1,430.06,434.52,429.08,433.09,38477500,6468180000,0.7371,5.44
Bitcoin,1/5/2016,1,433.07,434.18,429.68,431.96,34522600,6515380000,0.5067,4.5
Bitcoin,1/6/2016,1,431.86,431.86,426.34,429.11,34042500,6498830000,0.5018,5.52
Bitcoin,1/7/2016,1,430.01,458.77,429.08,458.05,87562200,6472580000,0.9757,29.69
Bitcoin,1/8/2016,1,457.54,462.93,447.94,453.23,56993000,6888600000,0.3529,14.99
Bitcoin,1/9/2016,1,453.38,454.64,446.89,447.61,32278000,6828000000,0.0929,7.75
Bitcoin,1/10/2016,1,448.24,448.31,440.35,447.99,35995900,6752210000,0.9598,7.96
Bitcoin,1/11/2016,1,448.7,450.66,443.86,448.43,40450000,6761090000,0.6721,6.8
Bitcoin,1/12/2016,1,448.18,448.18,435.69,435.69,115607000,6755220000,0,12.49
Bitcoin,1/13/2016,1,434.67,435.19,424.44,432.37,173888000,6553350000,0.7377,10.75
Bitcoin,1/14/2016,1,432.29,433.32,427.85,430.31,43945500,6519110000,0.4497,5.47
Bitcoin,1/15/2016,1,430.25,430.25,364.33,364.33,153351000,6489870000,0,65.92
Bitcoin,1/16/2016,1,365.07,390.56,354.91,387.54,120352000,5507790000,0.9153,35.65
Bitcoin,1/17/2016,1,387.15,390.96,380.09,382.3,45319600,5842270000,0.2033,10.87
Bitcoin,1/18/2016,1,381.73,388.1,376.67,387.17,54403900,5761940000,0.9186,11.43
Bitcoin,1/19/2016,1,387.03,387.73,378.97,380.15,46819800,5843510000,0.1347,8.76
Bitcoin,1/20/2016,1,379.74,425.27,376.6,420.23,121720000,5734760000,0.8964,48.67
Bitcoin,1/21/2016,1,419.63,422.88,406.3,410.26,68338000,6338800000,0.2388,16.58
Bitcoin,1/22/2016,1,409.75,410.41,375.28,382.49,91546600,6190940000,0.2052,35.13
Bitcoin,1/23/2016,1,382.43,394.54,381.98,387.49,56247400,5779890000,0.4387,12.56
Bitcoin,1/24/2016,1,388.1,405.49,387.51,402.97,54824800,5867300000,0.8598,17.98
Bitcoin,1/25/2016,1,402.32,402.32,388.55,391.73,59062400,6083900000,0.2309,13.77
Bitcoin,1/26/2016,1,392,397.77,390.57,392.15,58147000,5929520000,0.2194,7.2
Bitcoin,1/27/2016,1,392.44,396.84,391.78,394.97,47424400,5937780000,0.6304,5.06
Bitcoin,1/28/2016,1,395.15,395.5,379.74,380.29,59247900,5980180000,0.0349,15.76
Bitcoin,1/29/2016,1,380.11,384.38,365.45,379.47,86125300,5753970000,0.7406,18.93
Bitcoin,1/30/2016,1,378.87,380.92,376.49,378.25,30284400,5736760000,0.3973,4.43
Bitcoin,1/31/2016,1,378.29,380.35,367.83,368.77,37894300,5729870000,0.0751,12.52
Bitcoin,2/1/2016,1,369.35,378.07,367.96,373.06,51656700,5596090000,0.5045,10.11
Bitcoin,2/2/2016,1,372.92,375.88,372.92,374.45,40378700,5651690000,0.5169,2.96
Bitcoin,2/3/2016,1,374.65,374.95,368.05,369.95,45933400,5679530000,0.2754,6.9
Bitcoin,2/4/2016,1,370.17,391.61,369.99,389.59,69285500,5613380000,0.9066,21.62
Bitcoin,2/5/2016,1,388.9,391.09,385.57,386.55,43825000,5898960000,0.1775,5.52
Bitcoin,2/6/2016,1,386.59,386.63,372.39,376.52,49249300,5865740000,0.29,14.24
Bitcoin,2/7/2016,1,376.51,380.87,374.9,376.62,37076300,5714760000,0.2881,5.97
Bitcoin,2/8/2016,1,376.76,379.88,373.33,373.45,47671100,5720100000,0.0183,6.55
Bitcoin,2/9/2016,1,373.42,377.25,372.9,376.03,55318500,5670880000,0.7195,4.35
Bitcoin,2/10/2016,1,376.15,385.48,375.78,381.65,85130900,5713880000,0.6052,9.7
Bitcoin,2/11/2016,1,382.11,383.13,376.4,379.65,74375600,5806110000,0.4829,6.73
Bitcoin,2/12/2016,1,379.69,384.95,379.6,384.26,67042800,5771040000,0.871,5.35
Bitcoin,2/13/2016,1,384.64,391.86,384.64,391.86,61911700,5847990000,1,7.22
Bitcoin,2/14/2016,1,392.93,407.23,392.93,407.23,74469800,5975580000,1,14.3
Bitcoin,2/15/2016,1,407.57,410.38,397.75,400.19,74070500,6199850000,0.1932,12.63
Bitcoin,2/16/2016,1,401.43,408.94,401.43,407.49,73093100,6108040000,0.8069,7.51
Bitcoin,2/17/2016,1,407.66,421.17,406.78,416.32,83193600,6204150000,0.663,14.39
Bitcoin,2/18/2016,1,416.57,426,415.64,422.37,76752600,6341430000,0.6496,10.36
Bitcoin,2/19/2016,1,422.73,423.1,417.6,420.79,55711300,6436980000,0.58,5.5
Bitcoin,2/20/2016,1,421.6,441.98,421.6,437.16,93992100,6421310000,0.7635,20.38
Bitcoin,2/21/2016,1,437.77,448.05,429.08,438.8,89820700,6669260000,0.5124,18.97
Bitcoin,2/22/2016,1,438.99,439.05,432.92,437.75,85385200,6689200000,0.7879,6.13
Bitcoin,2/23/2016,1,438.25,439.86,417.82,420.74,85244900,6679400000,0.1325,22.04
Bitcoin,2/24/2016,1,420.96,425.55,413.91,424.95,67743700,6417190000,0.9485,11.64
Bitcoin,2/25/2016,1,425.04,427.72,420.42,424.54,70798000,6480650000,0.5644,7.3
Bitcoin,2/26/2016,1,424.63,432.15,421.62,432.15,61486000,6476080000,1,10.53
Bitcoin,2/27/2016,1,432.84,434.23,428.1,432.52,41893600,6602810000,0.721,6.13
Bitcoin,2/28/2016,1,432.57,435.68,423.82,433.5,53033400,6600310000,0.8162,11.86
Bitcoin,2/29/2016,1,433.44,441.51,431.69,437.7,60694700,6614980000,0.612,9.82
Bitcoin,3/1/2016,1,437.92,439.65,432.32,435.12,74895800,6684800000,0.382,7.33
Bitcoin,3/2/2016,1,435.13,435.92,423.99,423.99,74955300,6643810000,0,11.93
Bitcoin,3/3/2016,1,423.91,425.37,419.41,421.65,100484000,6474150000,0.3758,5.96
Bitcoin,3/4/2016,1,421.84,425.18,410.94,410.94,90856100,6443890000,0,14.24
Bitcoin,3/5/2016,1,410.78,411.26,394.04,400.57,135385000,6276610000,0.3792,17.22
Bitcoin,3/6/2016,1,400.52,411.91,395.78,407.71,91212500,6121400000,0.7396,16.13
Bitcoin,3/7/2016,1,407.76,415.92,406.31,414.32,85762400,6233430000,0.8335,9.61
Bitcoin,3/8/2016,1,414.46,416.24,411.09,413.97,70311700,6337370000,0.5592,5.15
Bitcoin,3/9/2016,1,413.89,416.03,411.61,414.86,70012300,6330230000,0.7353,4.42
Bitcoin,3/10/2016,1,414.74,417.51,413.25,417.13,81022900,6344960000,0.9108,4.26
Bitcoin,3/11/2016,1,417.24,423.93,417.01,421.69,73969700,6384740000,0.6763,6.92
Bitcoin,3/12/2016,1,421.61,421.8,410.09,411.62,92712900,6453260000,0.1307,11.71
Bitcoin,3/13/2016,1,411.65,416.6,411.64,414.06,74322800,6302330000,0.4879,4.96
Bitcoin,3/14/2016,1,414.2,416.68,414.2,416.44,95259400,6342780000,0.9032,2.48
Bitcoin,3/15/2016,1,416.39,418.13,414.99,416.83,66781700,6377870000,0.586,3.14
Bitcoin,3/16/2016,1,416.89,417.69,415.91,417.01,65185800,6387190000,0.618,1.78
Bitcoin,3/17/2016,1,417.89,421,417.89,420.62,83528600,6404130000,0.8778,3.11
Bitcoin,3/18/2016,1,420.55,420.55,406.14,409.55,104940000,6446330000,0.2366,14.41
Bitcoin,3/19/2016,1,409.26,410.98,407.23,410.44,58423000,6274790000,0.856,3.75
Bitcoin,3/20/2016,1,410.4,414.63,410.4,413.75,45947900,6293610000,0.792,4.23
Bitcoin,3/21/2016,1,413.42,413.42,410.38,413.31,61655400,6341380000,0.9638,3.04
Bitcoin,3/22/2016,1,413.13,418.38,412.53,418.09,66813300,6338430000,0.9504,5.85
Bitcoin,3/23/2016,1,418.16,419.27,417.36,418.04,61444200,6417130000,0.356,1.91
Bitcoin,3/24/2016,1,418.42,418.68,415.49,416.39,68346700,6422730000,0.2821,3.19
Bitcoin,3/25/2016,1,416.51,418.08,415.56,417.18,52560000,6394850000,0.6429,2.52
Bitcoin,3/26/2016,1,417.37,418.99,416.26,417.94,44650400,6409500000,0.6154,2.73
Bitcoin,3/27/2016,1,418.14,428.8,417.71,426.76,71229400,6423040000,0.8161,11.09
Bitcoin,3/28/2016,1,426.55,426.86,423.29,424.23,68522800,6553700000,0.2633,3.57
Bitcoin,3/29/2016,1,424.3,426.2,412.68,416.52,75411500,6521010000,0.284,13.52
Bitcoin,3/30/2016,1,416.83,416.83,412.5,414.82,66034100,6407840000,0.5358,4.33
Bitcoin,3/31/2016,1,415.26,418.37,415.26,416.73,60215200,6385140000,0.4727,3.11
Bitcoin,4/1/2016,1,416.76,418.17,415.83,417.96,51235700,6409540000,0.9103,2.34
Bitcoin,4/2/2016,1,418.42,422.08,418.42,420.87,45681200,6436700000,0.6694,3.66
Bitcoin,4/3/2016,1,421.17,421.58,419.7,420.9,38053700,6480470000,0.6383,1.88
Bitcoin,4/4/2016,1,421.3,422.34,419.6,421.44,50634300,6483910000,0.6715,2.74
Bitcoin,4/5/2016,1,421.02,424.26,420.61,424.03,60718000,6481350000,0.937,3.65
Bitcoin,4/6/2016,1,424.28,424.53,422.73,423.41,59091000,6533260000,0.3778,1.8
Bitcoin,4/7/2016,1,423.62,423.66,420.52,422.75,57858600,6524680000,0.7102,3.14
Bitcoin,4/8/2016,1,422.91,425.36,419.63,420.35,63454700,6515190000,0.1257,5.73
Bitcoin,4/9/2016,1,420.81,420.89,416.51,419.41,49792700,6484410000,0.6621,4.38
Bitcoin,4/10/2016,1,419.59,422.44,419.26,421.56,73478600,6467330000,0.7233,3.18
Bitcoin,4/11/2016,1,421.87,422.74,420.53,422.48,50747500,6504290000,0.8824,2.21
Bitcoin,4/12/2016,1,422.84,427.28,422.84,425.19,70728800,6520870000,0.5293,4.44
Bitcoin,4/13/2016,1,425.63,426.66,422.92,423.73,69060400,6565470000,0.2166,3.74
Bitcoin,4/14/2016,1,423.94,425.37,423.01,424.28,45281000,6541030000,0.5381,2.36
Bitcoin,4/15/2016,1,424.43,429.93,424.43,429.71,54801500,6550350000,0.96,5.5
Bitcoin,4/16/2016,1,429.57,432.63,428.98,430.57,39392800,6631310000,0.4356,3.65
Bitcoin,4/17/2016,1,430.64,431.37,426.08,427.4,52125900,6649170000,0.2495,5.29
Bitcoin,4/18/2016,1,427.61,429.27,427.09,428.59,55670900,6604150000,0.6881,2.18
Bitcoin,4/19/2016,1,428.7,436.02,428.1,435.51,52810500,6622450000,0.9356,7.92
Bitcoin,4/20/2016,1,435.32,443.05,434.41,441.39,72890100,6726370000,0.8079,8.64
Bitcoin,4/21/2016,1,441.42,450.55,440.95,449.43,68204700,6822320000,0.8833,9.6
Bitcoin,4/22/2016,1,449.69,449.81,444.15,445.74,58804400,6951860000,0.2809,5.66
Bitcoin,4/23/2016,1,445.86,450.28,444.33,450.28,50485400,6894280000,1,5.95
Bitcoin,4/24/2016,1,450.56,460.15,448.93,458.56,68198400,6968570000,0.8583,11.22
Bitcoin,4/25/2016,1,459.12,466.62,453.59,461.43,87091800,7102490000,0.6017,13.03
Bitcoin,4/26/2016,1,461.65,467.96,461.62,466.09,78971900,7143060000,0.705,6.34
Bitcoin,4/27/2016,1,466.26,467.08,444.13,444.69,93564900,7216190000,0.0244,22.95
Bitcoin,4/28/2016,1,445.04,449.55,436.65,449.01,74064700,6889170000,0.9581,12.9
Bitcoin,4/29/2016,1,449.41,455.38,446.02,455.1,49258500,6958330000,0.9701,9.36
Bitcoin,4/30/2016,1,455.18,455.59,447.7,448.32,69322600,7049460000,0.0786,7.89
Bitcoin,5/1/2016,1,448.48,452.48,447.93,451.88,40660100,6947430000,0.8681,4.55
Bitcoin,5/2/2016,1,451.93,452.44,441.78,444.67,92127000,7002610000,0.2711,10.66
Bitcoin,5/3/2016,1,444.73,451.1,442.62,450.3,59366400,6892690000,0.9057,8.48
Bitcoin,5/4/2016,1,450.18,450.38,445.63,446.72,50407300,6978950000,0.2295,4.75
Bitcoin,5/5/2016,1,446.71,448.51,445.88,447.98,50440800,6926990000,0.7985,2.63
Bitcoin,5/6/2016,1,447.94,461.38,447.07,459.6,72796800,6947800000,0.8756,14.31
Bitcoin,5/7/2016,1,459.64,460.68,457.32,458.54,38364500,7131120000,0.3631,3.36
Bitcoin,5/8/2016,1,458.43,459.42,455.98,458.55,40315000,7114060000,0.7471,3.44
Bitcoin,5/9/2016,1,458.21,462.48,456.53,460.48,55493100,7112510000,0.6639,5.95
Bitcoin,5/10/2016,1,460.52,461.93,448.95,450.89,58956100,7150370000,0.1495,12.98
Bitcoin,5/11/2016,1,450.86,454.58,450.86,452.73,50605200,7002230000,0.5027,3.72
Bitcoin,5/12/2016,1,452.45,454.95,449.25,454.77,59849300,7028330000,0.9684,5.7
Bitcoin,5/13/2016,1,454.85,457.06,453.45,455.67,60845000,7067270000,0.615,3.61
Bitcoin,5/14/2016,1,455.82,456.84,454.79,455.67,37209000,7084100000,0.4293,2.05
Bitcoin,5/15/2016,1,455.76,458.69,455.46,457.57,28514000,7084760000,0.6533,3.23
Bitcoin,5/16/2016,1,457.59,458.2,452.94,454.16,59171500,7114740000,0.2319,5.26
Bitcoin,5/17/2016,1,454.01,455.07,453.61,453.78,64100300,7060730000,0.1164,1.46
Bitcoin,5/18/2016,1,453.69,456,453.3,454.62,86850100,7057390000,0.4889,2.7
Bitcoin,5/19/2016,1,454.52,454.63,438.71,438.71,96027400,7072090000,0,15.92
Bitcoin,5/20/2016,1,437.79,444.05,437.39,442.68,81987900,6813080000,0.7943,6.66
Bitcoin,5/21/2016,1,442.97,443.78,441.71,443.19,42762300,6895230000,0.715,2.07
Bitcoin,5/22/2016,1,443.22,443.43,439.04,439.32,39657600,6900700000,0.0638,4.39
Bitcoin,5/23/2016,1,439.35,444.35,438.82,444.15,50582500,6842470000,0.9638,5.53
Bitcoin,5/24/2016,1,444.29,447.1,443.93,445.98,65783100,6921460000,0.6467,3.17
Bitcoin,5/25/2016,1,446.06,450.3,446.06,449.6,65231000,6950690000,0.8349,4.24
Bitcoin,5/26/2016,1,449.67,453.64,447.9,453.38,65203800,7008500000,0.9547,5.74
Bitcoin,5/27/2016,1,453.52,478.15,453.52,473.46,164781000,7070010000,0.8096,24.63
Bitcoin,5/28/2016,1,473.03,533.47,472.7,530.04,181199000,7375780000,0.9436,60.77
Bitcoin,5/29/2016,1,527.48,553.96,512.18,526.23,148737000,8226500000,0.3363,41.78
Bitcoin,5/30/2016,1,528.47,544.35,522.96,533.86,87958700,8243960000,0.5096,21.39
Bitcoin,5/31/2016,1,534.19,546.62,520.66,531.39,138450000,8335100000,0.4133,25.96
Bitcoin,6/1/2016,1,531.11,543.08,525.64,536.92,86061800,8288680000,0.6468,17.44
Bitcoin,6/2/2016,1,536.51,540.35,533.08,537.97,60378200,8375000000,0.6726,7.27
Bitcoin,6/3/2016,1,537.68,574.64,536.92,569.19,122020000,8395070000,0.8555,37.72
Bitcoin,6/4/2016,1,569.71,590.13,564.24,572.73,94925300,8897080000,0.3279,25.89
Bitcoin,6/5/2016,1,573.31,582.81,569.18,574.98,68874100,8955060000,0.4255,13.63
Bitcoin,6/6/2016,1,574.6,586.47,574.6,585.54,72138900,8977700000,0.9217,11.87
Bitcoin,6/7/2016,1,585.45,590.26,567.51,576.6,107770000,9149580000,0.3996,22.75
Bitcoin,6/8/2016,1,577.17,582.84,573.13,581.64,80265800,9022250000,0.8764,9.71
Bitcoin,6/9/2016,1,582.2,582.2,570.95,574.63,71301000,9103080000,0.3271,11.25
Bitcoin,6/10/2016,1,575.84,579.13,573.33,577.47,66991900,9005920000,0.7138,5.8
Bitcoin,6/11/2016,1,578.67,607.12,578.67,606.73,82357000,9052360000,0.9863,28.45
Bitcoin,6/12/2016,1,609.68,684.84,607.04,672.78,277085000,9539850000,0.845,77.8
Bitcoin,6/13/2016,1,671.65,716,664.49,704.38,243295000,10511900000,0.7744,51.51
Bitcoin,6/14/2016,1,704.5,704.5,662.8,685.56,186694000,11028900000,0.5458,41.7
Bitcoin,6/15/2016,1,685.68,696.3,672.56,694.47,99223800,10736600000,0.9229,23.74
Bitcoin,6/16/2016,1,696.52,773.72,696.52,766.31,271634000,10908900000,0.904,77.2
Bitcoin,6/17/2016,1,768.49,775.36,716.56,748.91,363321000,12038900000,0.5502,58.8
Bitcoin,6/18/2016,1,748.76,777.99,733.93,756.23,252718000,11732600000,0.5061,44.06
Bitcoin,6/19/2016,1,756.69,766.62,745.63,763.78,136185000,11859800000,0.8647,20.99
Bitcoin,6/20/2016,1,763.93,764.08,732.73,737.23,174511000,11976700000,0.1435,31.35
Bitcoin,6/21/2016,1,735.88,735.88,639.07,666.65,309944000,11540000000,0.2849,96.81
